feature_set,model,seed,outer_fold,best_score_inner,best_params
REDUCED_7,RandomForest,2028,1,0.9715410635420824,"{""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 600}"
REDUCED_7,RandomForest,2028,2,0.9656186083661707,"{""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 600}"
REDUCED_7,RandomForest,2028,3,0.9703029354980272,"{""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 300}"
REDUCED_7,RandomForest,2028,4,0.9671746369082084,"{""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 300}"
REDUCED_7,RandomForest,2028,5,0.972488465972193,"{""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 600}"
REDUCED_7,SVM_RBF,2026,1,0.9774846159793452,"{""clf__C"": 100, ""clf__gamma"": ""scale""}"
REDUCED_7,SVM_RBF,2026,2,0.975602298431972,"{""clf__C"": 100, ""clf__gamma"": ""scale""}"
REDUCED_7,SVM_RBF,2026,3,0.9727906124346076,"{""clf__C"": 100, ""clf__gamma"": ""scale""}"
REDUCED_7,SVM_RBF,2026,4,0.9734230738980888,"{""clf__C"": 100, ""clf__gamma"": 0.1}"
REDUCED_7,SVM_RBF,2026,5,0.9774922505391728,"{""clf__C"": 100, ""clf__gamma"": ""scale""}"
