f1_macro,accuracy,balanced_accuracy,precision_macro,recall_macro,mcc,kappa,log_loss,feature_set,model,seed,outer_fold
0.9725395587681152,0.9725,0.9725,0.9727437091341392,0.9725,0.9633895326952696,0.9633333333333334,0.0952560730288516,FULL_11,LDA_MLP,2027,4
0.973715537551926,0.97375,0.97375,0.9743681273633796,0.97375,0.9652353047868086,0.965,0.3418367426592961,FULL_11,LDA_MLP,2027,5
0.966338262676414,0.96625,0.96625,0.9669990617557196,0.96625,0.9551930481030108,0.955,0.1539646710516276,FULL_11,LDA_MLP,2028,1
0.9825186954293464,0.9825,0.9825,0.9825435323383084,0.9825,0.9766687013952474,0.9766666666666668,0.0566893377822928,FULL_11,LDA_MLP,2028,2
0.9812227572819175,0.98125,0.98125,0.9814913581637504,0.98125,0.975099546493316,0.975,0.0555253805692431,FULL_11,LDA_MLP,2028,3
0.9837450219129608,0.98375,0.98375,0.9840366949513152,0.98375,0.9784332201565412,0.9783333333333332,0.0759802521861581,FULL_11,LDA_MLP,2028,4
0.968673993737913,0.96875,0.96875,0.9686399884779752,0.96875,0.9583473093335036,0.9583333333333334,0.1205971471041816,FULL_11,LDA_MLP,2028,5
0.9799819837854068,0.98,0.98,0.9808309915696508,0.98,0.973625464799068,0.9733333333333334,0.0674609325393293,FULL_11,LDA_SVM,2026,1
0.9799994999874996,0.98,0.98,0.98002300230023,0.98,0.9733414445458348,0.9733333333333334,0.0608119936997652,FULL_11,LDA_SVM,2026,2
0.9824915320305256,0.9825,0.9825,0.9831504115739584,0.9825,0.9768925992067043,0.9766666666666668,0.0512610012498092,FULL_11,LDA_SVM,2026,3
0.97874667916862,0.97875,0.97875,0.9788930581613507,0.97875,0.9717172782596204,0.9716666666666668,0.0671718882789364,FULL_11,LDA_SVM,2026,4
0.9724938111074992,0.9725,0.9725,0.9727004303873488,0.9725,0.9634055914624744,0.9633333333333334,0.0684678302785433,FULL_11,LDA_SVM,2026,5
0.9787339175251284,0.97875,0.97875,0.9794440683066276,0.97875,0.9719117002961236,0.9716666666666668,0.0523567517470097,FULL_11,LDA_SVM,2027,1
0.9812442560534164,0.98125,0.98125,0.9815336286951516,0.98125,0.975099546493316,0.975,0.0519698698116716,FULL_11,LDA_SVM,2027,2
0.9824982498249824,0.9825,0.9825,0.982593037214886,0.9825,0.9766992238500904,0.9766666666666668,0.0536188404872718,FULL_11,LDA_SVM,2027,3
0.9749843652282676,0.975,0.975,0.9755639097744362,0.975,0.9668681185114434,0.9666666666666668,0.0721000533304001,FULL_11,LDA_SVM,2027,4
